Size	   Bubble Sort	Selection Sort	Insertion Sort
50	42453.34	12123.045	28600.87
100	38081.43	13027.63	32639.975
150	73898.695	30583.506	60569.61
200	91548.44	33928.57	19091.955
250	139289.69	50352.36	28563.895
300	197942.05	69953.45	40396.83
350	266134.88	93724.46	54195.234
400	342269.12	119244.85	69202.55
450	426396.6	148352.08	87452.46
500	520607.53	180502.84	106470.46
550	623425.7	216908.86	127982.98
600	776692.6	278300.6	166630.47
650	859244.4	296265.97	176731.0
700	985333.1	341336.2	203761.9
750	1126055.9	391822.38	233315.64
800	1293380.6	446623.56	268549.72
850	1501681.9	516565.84	311540.6
900	1605467.5	554965.25	329856.12
950	2070405.9	662584.94	398108.4
1000	2007919.6	695606.75	419589.8
